ind c1 c2 c3 c4
1101 0.0012 0.0010 0.0002 0.9976
1102 0.0057 0.0019 0.0008 0.9916
1103 0.0012 0.0026 0.0010 0.9952
1104 0.0130 0.0123 0.0010 0.9737
1105 0.2559 0.3327 0.1924 0.2190
1106 0.0010 0.0019 0.0005 0.9966
1108 0.4643 0.1348 0.0532 0.3477
1109 0.0668 0.0017 0.0010 0.9305
1110 0.0535 0.0615 0.3649 0.5201
1113 0.0054 0.0022 0.0002 0.9922
1114 0.0012 0.0010 0.0008 0.9970
1215 0.0148 0.0020 0.4625 0.5207
1216 0.0220 0.0096 0.3699 0.5985
1217 0.0010 0.0019 0.0000 0.9971
1218 0.0114 0.0020 0.4081 0.5785
1219 0.0021 0.0010 0.2014 0.7955
1220 0.0010 0.0018 0.3750 0.6222
1221 0.0010 0.0010 0.6221 0.3759
1222 0.0602 0.0098 0.7297 0.2003
1223 0.0010 0.0010 0.0011 0.9969
1224 0.0010 0.0017 0.6425 0.3548
1325 0.0010 0.0010 0.5915 0.4065
1326 0.0005 0.3869 0.0009 0.6117
1327 0.0010 0.0010 0.0010 0.9970
1328 0.1410 0.0725 0.1319 0.6545
1329 0.0010 0.4456 0.0010 0.5524
1330 0.0037 0.3525 0.0460 0.5978
2118 0.0025 0.4024 0.0002 0.5949
2120 0.1376 0.3038 0.0024 0.5562
2121 0.0025 0.4132 0.0010 0.5833
2122 0.0010 0.4106 0.0000 0.5884
2124 0.0006 0.0010 0.0005 0.9979
2125 0.0049 0.3552 0.0017 0.6382
2126 0.3200 0.4123 0.0369 0.2308
2127 0.0010 0.4275 0.0010 0.5705
2129 0.0019 0.5961 0.0009 0.4011
2130 0.0010 0.3282 0.0010 0.6698
2201 0.0010 0.3406 0.0011 0.6573
2202 0.0010 0.2708 0.0010 0.7272
2203 0.0019 0.3423 0.0010 0.6548
2205 0.4394 0.5590 0.0012 0.0004
2206 0.0010 0.2904 0.0027 0.7059
2207 0.0009 0.2769 0.0007 0.7215
2208 0.0011 0.5524 0.0001 0.4464
2209 0.0272 0.2938 0.0019 0.6772
2210 0.0082 0.3993 0.0052 0.5873
2211 0.0010 0.1601 0.0010 0.8379
2212 0.0017 0.4712 0.0010 0.5261
2213 0.0021 0.5067 0.0010 0.4902
2214 0.0141 0.0347 0.0000 0.9512
2215 0.0010 0.0010 0.0000 0.9980
2216 0.0021 0.0149 0.0017 0.9813
2217 0.0010 0.2003 0.0008 0.7979
3101 0.1658 0.8178 0.0147 0.0017
3103 0.3273 0.6700 0.0020 0.0007
3104 0.1176 0.2675 0.6143 0.0007
3105 0.3010 0.6908 0.0072 0.0010
3206 0.4498 0.0118 0.5375 0.0009
3207 0.9990 0.0010 0.0000 0.0000
3208 0.6857 0.3084 0.0049 0.0010
3209 0.3652 0.5977 0.0361 0.0010
3210 0.9989 0.0010 0.0000 0.0001
3311 0.0013 0.9974 0.0011 0.0002
3312 0.3403 0.6219 0.0348 0.0030
3313 0.4859 0.5089 0.0047 0.0005
3314 0.8039 0.1960 0.0000 0.0001
3315 0.2511 0.1936 0.5553 0.0000
3416 0.0002 0.9998 0.0000 0.0000
3417 0.6183 0.3687 0.0109 0.0021
3420 0.0387 0.9596 0.0010 0.0007
3522 0.9980 0.0010 0.0000 0.0010
3523 0.9708 0.0255 0.0010 0.0027
3524 0.9940 0.0048 0.0007 0.0005
3525 0.5115 0.0023 0.4862 0.0000
3626 0.0050 0.9935 0.0006 0.0009
3628 0.0101 0.9875 0.0014 0.0010
3629 0.0030 0.9970 0.0000 0.0000
3630 0.2270 0.7698 0.0019 0.0013
4101 0.1497 0.8482 0.0011 0.0010
4102 0.0000 1.0000 0.0000 0.0000
4103 0.0018 0.9950 0.0012 0.0020
4105 0.0902 0.9079 0.0010 0.0009
4106 0.0219 0.9629 0.0143 0.0009
4107 0.6466 0.3515 0.0009 0.0010
4209 0.2539 0.7446 0.0015 0.0000
4210 0.3998 0.5991 0.0010 0.0001
4211 0.6741 0.3248 0.0010 0.0001
4212 0.6368 0.3560 0.0062 0.0010
4213 0.1743 0.8227 0.0010 0.0020
4214 0.9980 0.0010 0.0010 0.0000
4315 0.0042 0.9938 0.0009 0.0011
4316 0.3404 0.6583 0.0010 0.0003
4317 0.0009 0.9978 0.0008 0.0005
4318 0.0010 0.9981 0.0000 0.0009
4319 0.9994 0.0006 0.0000 0.0000
4320 0.3164 0.6458 0.0358 0.0020
4321 0.9990 0.0010 0.0000 0.0000
4322 0.8630 0.1283 0.0076 0.0011
4423 0.0055 0.9913 0.0011 0.0021
4424 0.0074 0.8669 0.0183 0.1074
4425 0.0023 0.8778 0.0403 0.0796
4426 0.0001 0.9993 0.0006 0.0000
4428 0.0014 0.9937 0.0009 0.0040
4429 0.0019 0.9971 0.0001 0.0009
4430 0.8409 0.1363 0.0205 0.0023
5101 0.0187 0.8484 0.0946 0.0383
5102 0.0010 0.8941 0.0860 0.0189
5103 0.0012 0.8671 0.0814 0.0503
5104 0.0723 0.0046 0.9231 0.0000
5105 0.0077 0.9610 0.0284 0.0029
5106 0.0014 0.9414 0.0562 0.0010
5107 0.0013 0.9925 0.0047 0.0015
